compound_id,true_target,hard_negative,target_type
COMPOUND_dac1a6903e58,SYMPTOM_8c8e9a9a5f8a,SYMPTOM_0ebf3cbae989,Symptom
COMPOUND_dac1a6903e58,SYMPTOM_8c8e9a9a5f8a,SYMPTOM_0f70f3b506e2,Symptom
COMPOUND_dac1a6903e58,SYMPTOM_8c8e9a9a5f8a,SYMPTOM_10d012baa5e9,Symptom
COMPOUND_dac1a6903e58,SYMPTOM_8c8e9a9a5f8a,SYMPTOM_1781e759516c,Symptom
COMPOUND_dac1a6903e58,SYMPTOM_a12879b9590a,SYMPTOM_01a89e9be65b,Symptom
COMPOUND_dac1a6903e58,SYMPTOM_a12879b9590a,SYMPTOM_0ebf3cbae989,Symptom
COMPOUND_dac1a6903e58,SYMPTOM_a12879b9590a,SYMPTOM_0f70f3b506e2,Symptom
COMPOUND_dac1a6903e58,SYMPTOM_a12879b9590a,SYMPTOM_10d012baa5e9,Symptom
COMPOUND_dac1a6903e58,SYMPTOM_a12879b9590a,SYMPTOM_1781e759516c,Symptom
COMPOUND_dac1a6903e58,SYMPTOM_ac4ac57a7b7f,SYMPTOM_01a89e9be65b,Symptom
COMPOUND_dac1a6903e58,SYMPTOM_ac4ac57a7b7f,SYMPTOM_0ebf3cbae989,Symptom
COMPOUND_dac1a6903e58,SYMPTOM_ac4ac57a7b7f,SYMPTOM_0f70f3b506e2,Symptom
COMPOUND_dac1a6903e58,SYMPTOM_ac4ac57a7b7f,SYMPTOM_10d012baa5e9,Symptom
COMPOUND_dac1a6903e58,SYMPTOM_ac4ac57a7b7f,SYMPTOM_1781e759516c,Symptom
COMPOUND_dac1a6903e58,SYMPTOM_0a61ad588557,SYMPTOM_01a89e9be65b,Symptom
COMPOUND_dac1a6903e58,SYMPTOM_0a61ad588557,SYMPTOM_0ebf3cbae989,Symptom
COMPOUND_dac1a6903e58,SYMPTOM_0a61ad588557,SYMPTOM_0f70f3b506e2,Symptom
COMPOUND_dac1a6903e58,SYMPTOM_0a61ad588557,SYMPTOM_10d012baa5e9,Symptom
COMPOUND_dac1a6903e58,SYMPTOM_0a61ad588557,SYMPTOM_1781e759516c,Symptom
COMPOUND_ded323257a5c,DISEASE_578708c54b66,DISEASE_120d64215d86,Disease
COMPOUND_ded323257a5c,DISEASE_578708c54b66,DISEASE_33f32d4c3a5c,Disease
COMPOUND_ded323257a5c,DISEASE_578708c54b66,DISEASE_57750b73b487,Disease
COMPOUND_ded323257a5c,DISEASE_578708c54b66,DISEASE_66ce053b0c0b,Disease
COMPOUND_ded323257a5c,DISEASE_578708c54b66,DISEASE_800f3dcd7399,Disease
COMPOUND_ded323257a5c,SYMPTOM_c6e23b2dca0c,SYMPTOM_01a89e9be65b,Symptom
COMPOUND_ded323257a5c,SYMPTOM_c6e23b2dca0c,SYMPTOM_0ebf3cbae989,Symptom
COMPOUND_ded323257a5c,SYMPTOM_c6e23b2dca0c,SYMPTOM_0f70f3b506e2,Symptom
COMPOUND_ded323257a5c,SYMPTOM_c6e23b2dca0c,SYMPTOM_10d012baa5e9,Symptom
COMPOUND_ded323257a5c,SYMPTOM_c6e23b2dca0c,SYMPTOM_1781e759516c,Symptom
COMPOUND_ded323257a5c,SYMPTOM_ac7049227bb3,SYMPTOM_01a89e9be65b,Symptom
COMPOUND_ded323257a5c,SYMPTOM_ac7049227bb3,SYMPTOM_0ebf3cbae989,Symptom
COMPOUND_ded323257a5c,SYMPTOM_ac7049227bb3,SYMPTOM_0f70f3b506e2,Symptom
COMPOUND_ded323257a5c,SYMPTOM_ac7049227bb3,SYMPTOM_10d012baa5e9,Symptom
COMPOUND_ded323257a5c,SYMPTOM_ac7049227bb3,SYMPTOM_1781e759516c,Symptom
COMPOUND_ded323257a5c,SYMPTOM_7e1aba55d500,SYMPTOM_01a89e9be65b,Symptom
COMPOUND_ded323257a5c,SYMPTOM_7e1aba55d500,SYMPTOM_0ebf3cbae989,Symptom
COMPOUND_ded323257a5c,SYMPTOM_7e1aba55d500,SYMPTOM_0f70f3b506e2,Symptom
COMPOUND_ded323257a5c,SYMPTOM_7e1aba55d500,SYMPTOM_10d012baa5e9,Symptom
COMPOUND_ded323257a5c,SYMPTOM_7e1aba55d500,SYMPTOM_1781e759516c,Symptom
COMPOUND_ded323257a5c,SYMPTOM_dcbbe374bb72,SYMPTOM_01a89e9be65b,Symptom
COMPOUND_ded323257a5c,SYMPTOM_dcbbe374bb72,SYMPTOM_0ebf3cbae989,Symptom
COMPOUND_ded323257a5c,SYMPTOM_dcbbe374bb72,SYMPTOM_0f70f3b506e2,Symptom
COMPOUND_ded323257a5c,SYMPTOM_dcbbe374bb72,SYMPTOM_10d012baa5e9,Symptom
COMPOUND_ded323257a5c,SYMPTOM_dcbbe374bb72,SYMPTOM_1781e759516c,Symptom
COMPOUND_47fe4ec9130d,SYMPTOM_7a90b536d862,SYMPTOM_003993957fb9,Symptom
COMPOUND_47fe4ec9130d,SYMPTOM_7a90b536d862,SYMPTOM_005668237e94,Symptom
COMPOUND_47fe4ec9130d,SYMPTOM_7a90b536d862,SYMPTOM_0071d323d363,Symptom
COMPOUND_47fe4ec9130d,SYMPTOM_7a90b536d862,SYMPTOM_0084e48e9830,Symptom
COMPOUND_47fe4ec9130d,SYMPTOM_7a90b536d862,SYMPTOM_009811abd195,Symptom
COMPOUND_47fe4ec9130d,SYMPTOM_8be6245de13d,SYMPTOM_003993957fb9,Symptom
COMPOUND_47fe4ec9130d,SYMPTOM_8be6245de13d,SYMPTOM_005668237e94,Symptom
COMPOUND_47fe4ec9130d,SYMPTOM_8be6245de13d,SYMPTOM_0071d323d363,Symptom
COMPOUND_47fe4ec9130d,SYMPTOM_8be6245de13d,SYMPTOM_0084e48e9830,Symptom
COMPOUND_47fe4ec9130d,SYMPTOM_8be6245de13d,SYMPTOM_009811abd195,Symptom
COMPOUND_47fe4ec9130d,SYMPTOM_e7a84843ca2f,SYMPTOM_003993957fb9,Symptom
COMPOUND_47fe4ec9130d,SYMPTOM_e7a84843ca2f,SYMPTOM_005668237e94,Symptom
COMPOUND_47fe4ec9130d,SYMPTOM_e7a84843ca2f,SYMPTOM_0071d323d363,Symptom
COMPOUND_47fe4ec9130d,SYMPTOM_e7a84843ca2f,SYMPTOM_0084e48e9830,Symptom
COMPOUND_47fe4ec9130d,SYMPTOM_e7a84843ca2f,SYMPTOM_009811abd195,Symptom
COMPOUND_47fe4ec9130d,SYMPTOM_3467318ecdaa,SYMPTOM_003993957fb9,Symptom
COMPOUND_47fe4ec9130d,SYMPTOM_3467318ecdaa,SYMPTOM_005668237e94,Symptom
COMPOUND_47fe4ec9130d,SYMPTOM_3467318ecdaa,SYMPTOM_0071d323d363,Symptom
COMPOUND_47fe4ec9130d,SYMPTOM_3467318ecdaa,SYMPTOM_0084e48e9830,Symptom
COMPOUND_47fe4ec9130d,SYMPTOM_3467318ecdaa,SYMPTOM_009811abd195,Symptom
COMPOUND_47fe4ec9130d,DISEASE_9fee7a39f2e6,DISEASE_071459a0c2fd,Disease
COMPOUND_47fe4ec9130d,DISEASE_9fee7a39f2e6,DISEASE_093461e46ef0,Disease
COMPOUND_47fe4ec9130d,DISEASE_9fee7a39f2e6,DISEASE_0ace1f8e701c,Disease
COMPOUND_47fe4ec9130d,DISEASE_9fee7a39f2e6,DISEASE_120d64215d86,Disease
COMPOUND_47fe4ec9130d,DISEASE_9fee7a39f2e6,DISEASE_13ef8ee6ec1a,Disease
COMPOUND_5adc4b7903fe,SYMPTOM_49ad1743fb5b,SYMPTOM_01a89e9be65b,Symptom
COMPOUND_5adc4b7903fe,SYMPTOM_49ad1743fb5b,SYMPTOM_0ebf3cbae989,Symptom
COMPOUND_5adc4b7903fe,SYMPTOM_49ad1743fb5b,SYMPTOM_0f70f3b506e2,Symptom
COMPOUND_5adc4b7903fe,SYMPTOM_49ad1743fb5b,SYMPTOM_10d012baa5e9,Symptom
COMPOUND_5adc4b7903fe,SYMPTOM_49ad1743fb5b,SYMPTOM_1781e759516c,Symptom
COMPOUND_5adc4b7903fe,SYMPTOM_52b0760e3443,SYMPTOM_01a89e9be65b,Symptom
COMPOUND_5adc4b7903fe,SYMPTOM_52b0760e3443,SYMPTOM_0ebf3cbae989,Symptom
COMPOUND_5adc4b7903fe,SYMPTOM_52b0760e3443,SYMPTOM_0f70f3b506e2,Symptom
COMPOUND_5adc4b7903fe,SYMPTOM_52b0760e3443,SYMPTOM_10d012baa5e9,Symptom
COMPOUND_5adc4b7903fe,SYMPTOM_52b0760e3443,SYMPTOM_1781e759516c,Symptom
COMPOUND_8951771cfa60,SYMPTOM_8c8e9a9a5f8a,SYMPTOM_003993957fb9,Symptom
COMPOUND_8951771cfa60,SYMPTOM_8c8e9a9a5f8a,SYMPTOM_005668237e94,Symptom
COMPOUND_8951771cfa60,SYMPTOM_8c8e9a9a5f8a,SYMPTOM_0071d323d363,Symptom
COMPOUND_8951771cfa60,SYMPTOM_8c8e9a9a5f8a,SYMPTOM_0084e48e9830,Symptom
COMPOUND_8951771cfa60,SYMPTOM_8c8e9a9a5f8a,SYMPTOM_009811abd195,Symptom
COMPOUND_8951771cfa60,SYMPTOM_a12879b9590a,SYMPTOM_003993957fb9,Symptom
COMPOUND_8951771cfa60,SYMPTOM_a12879b9590a,SYMPTOM_005668237e94,Symptom
COMPOUND_8951771cfa60,SYMPTOM_a12879b9590a,SYMPTOM_0071d323d363,Symptom
COMPOUND_8951771cfa60,SYMPTOM_a12879b9590a,SYMPTOM_0084e48e9830,Symptom
COMPOUND_8951771cfa60,SYMPTOM_a12879b9590a,SYMPTOM_009811abd195,Symptom
COMPOUND_8951771cfa60,SYMPTOM_0a61ad588557,SYMPTOM_003993957fb9,Symptom
COMPOUND_8951771cfa60,SYMPTOM_0a61ad588557,SYMPTOM_005668237e94,Symptom
COMPOUND_8951771cfa60,SYMPTOM_0a61ad588557,SYMPTOM_0071d323d363,Symptom
COMPOUND_8951771cfa60,SYMPTOM_0a61ad588557,SYMPTOM_0084e48e9830,Symptom
COMPOUND_8951771cfa60,SYMPTOM_0a61ad588557,SYMPTOM_009811abd195,Symptom
COMPOUND_8951771cfa60,SYMPTOM_ac4ac57a7b7f,SYMPTOM_003993957fb9,Symptom
COMPOUND_8951771cfa60,SYMPTOM_ac4ac57a7b7f,SYMPTOM_005668237e94,Symptom
COMPOUND_8951771cfa60,SYMPTOM_ac4ac57a7b7f,SYMPTOM_0071d323d363,Symptom
COMPOUND_8951771cfa60,SYMPTOM_ac4ac57a7b7f,SYMPTOM_0084e48e9830,Symptom
COMPOUND_8951771cfa60,SYMPTOM_ac4ac57a7b7f,SYMPTOM_009811abd195,Symptom
COMPOUND_dca0e66d520e,SYMPTOM_de00827d7e8e,SYMPTOM_01a89e9be65b,Symptom
COMPOUND_dca0e66d520e,SYMPTOM_de00827d7e8e,SYMPTOM_0ebf3cbae989,Symptom
COMPOUND_dca0e66d520e,SYMPTOM_de00827d7e8e,SYMPTOM_0f70f3b506e2,Symptom
COMPOUND_dca0e66d520e,SYMPTOM_de00827d7e8e,SYMPTOM_10d012baa5e9,Symptom
COMPOUND_dca0e66d520e,SYMPTOM_de00827d7e8e,SYMPTOM_1781e759516c,Symptom
COMPOUND_dca0e66d520e,DISEASE_42f9fa377b98,DISEASE_120d64215d86,Disease
COMPOUND_dca0e66d520e,DISEASE_42f9fa377b98,DISEASE_33f32d4c3a5c,Disease
COMPOUND_dca0e66d520e,DISEASE_42f9fa377b98,DISEASE_57750b73b487,Disease
COMPOUND_dca0e66d520e,DISEASE_42f9fa377b98,DISEASE_66ce053b0c0b,Disease
COMPOUND_dca0e66d520e,DISEASE_42f9fa377b98,DISEASE_800f3dcd7399,Disease
COMPOUND_74a705b2ad84,SYMPTOM_947c70271d24,SYMPTOM_003993957fb9,Symptom
COMPOUND_74a705b2ad84,SYMPTOM_947c70271d24,SYMPTOM_005668237e94,Symptom
COMPOUND_74a705b2ad84,SYMPTOM_947c70271d24,SYMPTOM_0071d323d363,Symptom
COMPOUND_74a705b2ad84,SYMPTOM_947c70271d24,SYMPTOM_0084e48e9830,Symptom
COMPOUND_74a705b2ad84,SYMPTOM_947c70271d24,SYMPTOM_009811abd195,Symptom
COMPOUND_2716d44b7024,SYMPTOM_76ce1b842ce5,SYMPTOM_01a89e9be65b,Symptom
COMPOUND_2716d44b7024,SYMPTOM_76ce1b842ce5,SYMPTOM_0ebf3cbae989,Symptom
COMPOUND_2716d44b7024,SYMPTOM_76ce1b842ce5,SYMPTOM_0f70f3b506e2,Symptom
COMPOUND_2716d44b7024,SYMPTOM_76ce1b842ce5,SYMPTOM_10d012baa5e9,Symptom
COMPOUND_2716d44b7024,SYMPTOM_76ce1b842ce5,SYMPTOM_1781e759516c,Symptom
COMPOUND_3bcd8ad0daaf,SYMPTOM_15564a4455ce,SYMPTOM_003993957fb9,Symptom
COMPOUND_3bcd8ad0daaf,SYMPTOM_15564a4455ce,SYMPTOM_005668237e94,Symptom
COMPOUND_3bcd8ad0daaf,SYMPTOM_15564a4455ce,SYMPTOM_0071d323d363,Symptom
COMPOUND_3bcd8ad0daaf,SYMPTOM_15564a4455ce,SYMPTOM_0084e48e9830,Symptom
COMPOUND_3bcd8ad0daaf,SYMPTOM_15564a4455ce,SYMPTOM_009811abd195,Symptom
COMPOUND_3d95df452764,DISEASE_e2f37d4a7296,DISEASE_071459a0c2fd,Disease
COMPOUND_3d95df452764,DISEASE_e2f37d4a7296,DISEASE_093461e46ef0,Disease
COMPOUND_3d95df452764,DISEASE_e2f37d4a7296,DISEASE_0ace1f8e701c,Disease
COMPOUND_3d95df452764,DISEASE_e2f37d4a7296,DISEASE_120d64215d86,Disease
COMPOUND_3d95df452764,DISEASE_e2f37d4a7296,DISEASE_13ef8ee6ec1a,Disease
COMPOUND_3d95df452764,SYMPTOM_15564a4455ce,SYMPTOM_003993957fb9,Symptom
COMPOUND_3d95df452764,SYMPTOM_15564a4455ce,SYMPTOM_005668237e94,Symptom
COMPOUND_3d95df452764,SYMPTOM_15564a4455ce,SYMPTOM_0071d323d363,Symptom
COMPOUND_3d95df452764,SYMPTOM_15564a4455ce,SYMPTOM_0084e48e9830,Symptom
COMPOUND_3d95df452764,SYMPTOM_15564a4455ce,SYMPTOM_009811abd195,Symptom
COMPOUND_642328155fbf,SYMPTOM_64c8aca0d1b5,SYMPTOM_003993957fb9,Symptom
COMPOUND_642328155fbf,SYMPTOM_64c8aca0d1b5,SYMPTOM_005668237e94,Symptom
COMPOUND_642328155fbf,SYMPTOM_64c8aca0d1b5,SYMPTOM_0071d323d363,Symptom
COMPOUND_642328155fbf,SYMPTOM_64c8aca0d1b5,SYMPTOM_0084e48e9830,Symptom
COMPOUND_642328155fbf,SYMPTOM_64c8aca0d1b5,SYMPTOM_009811abd195,Symptom
COMPOUND_642328155fbf,SYMPTOM_15564a4455ce,SYMPTOM_003993957fb9,Symptom
COMPOUND_642328155fbf,SYMPTOM_15564a4455ce,SYMPTOM_005668237e94,Symptom
COMPOUND_642328155fbf,SYMPTOM_15564a4455ce,SYMPTOM_0071d323d363,Symptom
COMPOUND_642328155fbf,SYMPTOM_15564a4455ce,SYMPTOM_0084e48e9830,Symptom
COMPOUND_642328155fbf,SYMPTOM_15564a4455ce,SYMPTOM_009811abd195,Symptom
COMPOUND_66c81a6de0b7,DISEASE_e2f37d4a7296,DISEASE_071459a0c2fd,Disease
COMPOUND_66c81a6de0b7,DISEASE_e2f37d4a7296,DISEASE_093461e46ef0,Disease
COMPOUND_66c81a6de0b7,DISEASE_e2f37d4a7296,DISEASE_0ace1f8e701c,Disease
COMPOUND_66c81a6de0b7,DISEASE_e2f37d4a7296,DISEASE_120d64215d86,Disease
COMPOUND_66c81a6de0b7,DISEASE_e2f37d4a7296,DISEASE_13ef8ee6ec1a,Disease
COMPOUND_66c81a6de0b7,SYMPTOM_15564a4455ce,SYMPTOM_003993957fb9,Symptom
COMPOUND_66c81a6de0b7,SYMPTOM_15564a4455ce,SYMPTOM_005668237e94,Symptom
COMPOUND_66c81a6de0b7,SYMPTOM_15564a4455ce,SYMPTOM_0071d323d363,Symptom
COMPOUND_66c81a6de0b7,SYMPTOM_15564a4455ce,SYMPTOM_0084e48e9830,Symptom
COMPOUND_66c81a6de0b7,SYMPTOM_15564a4455ce,SYMPTOM_009811abd195,Symptom
COMPOUND_34176e1edb1b,SYMPTOM_81a0ed82012a,SYMPTOM_003993957fb9,Symptom
COMPOUND_34176e1edb1b,SYMPTOM_81a0ed82012a,SYMPTOM_005668237e94,Symptom
COMPOUND_34176e1edb1b,SYMPTOM_81a0ed82012a,SYMPTOM_0071d323d363,Symptom
COMPOUND_34176e1edb1b,SYMPTOM_81a0ed82012a,SYMPTOM_0084e48e9830,Symptom
COMPOUND_34176e1edb1b,SYMPTOM_81a0ed82012a,SYMPTOM_009811abd195,Symptom
COMPOUND_34176e1edb1b,SYMPTOM_f8703b74a201,SYMPTOM_003993957fb9,Symptom
COMPOUND_34176e1edb1b,SYMPTOM_f8703b74a201,SYMPTOM_005668237e94,Symptom
COMPOUND_34176e1edb1b,SYMPTOM_f8703b74a201,SYMPTOM_0071d323d363,Symptom
COMPOUND_34176e1edb1b,SYMPTOM_f8703b74a201,SYMPTOM_0084e48e9830,Symptom
COMPOUND_34176e1edb1b,SYMPTOM_f8703b74a201,SYMPTOM_009811abd195,Symptom
COMPOUND_34176e1edb1b,DISEASE_b2a66b919818,DISEASE_071459a0c2fd,Disease
COMPOUND_34176e1edb1b,DISEASE_b2a66b919818,DISEASE_093461e46ef0,Disease
COMPOUND_34176e1edb1b,DISEASE_b2a66b919818,DISEASE_0ace1f8e701c,Disease
COMPOUND_34176e1edb1b,DISEASE_b2a66b919818,DISEASE_120d64215d86,Disease
COMPOUND_34176e1edb1b,DISEASE_b2a66b919818,DISEASE_13ef8ee6ec1a,Disease
COMPOUND_34176e1edb1b,SYMPTOM_0a61ad588557,SYMPTOM_003993957fb9,Symptom
COMPOUND_34176e1edb1b,SYMPTOM_0a61ad588557,SYMPTOM_005668237e94,Symptom
COMPOUND_34176e1edb1b,SYMPTOM_0a61ad588557,SYMPTOM_0071d323d363,Symptom
COMPOUND_34176e1edb1b,SYMPTOM_0a61ad588557,SYMPTOM_0084e48e9830,Symptom
COMPOUND_34176e1edb1b,SYMPTOM_0a61ad588557,SYMPTOM_009811abd195,Symptom
COMPOUND_34176e1edb1b,SYMPTOM_7cb3341d65ed,SYMPTOM_003993957fb9,Symptom
COMPOUND_34176e1edb1b,SYMPTOM_7cb3341d65ed,SYMPTOM_005668237e94,Symptom
COMPOUND_34176e1edb1b,SYMPTOM_7cb3341d65ed,SYMPTOM_0071d323d363,Symptom
COMPOUND_34176e1edb1b,SYMPTOM_7cb3341d65ed,SYMPTOM_0084e48e9830,Symptom
COMPOUND_34176e1edb1b,SYMPTOM_7cb3341d65ed,SYMPTOM_009811abd195,Symptom
COMPOUND_34176e1edb1b,SYMPTOM_15564a4455ce,SYMPTOM_003993957fb9,Symptom
COMPOUND_34176e1edb1b,SYMPTOM_15564a4455ce,SYMPTOM_005668237e94,Symptom
COMPOUND_34176e1edb1b,SYMPTOM_15564a4455ce,SYMPTOM_0071d323d363,Symptom
COMPOUND_34176e1edb1b,SYMPTOM_15564a4455ce,SYMPTOM_0084e48e9830,Symptom
COMPOUND_34176e1edb1b,SYMPTOM_15564a4455ce,SYMPTOM_009811abd195,Symptom
COMPOUND_a3040ad64318,SYMPTOM_de00827d7e8e,SYMPTOM_01a89e9be65b,Symptom
COMPOUND_a3040ad64318,SYMPTOM_de00827d7e8e,SYMPTOM_0ebf3cbae989,Symptom
COMPOUND_a3040ad64318,SYMPTOM_de00827d7e8e,SYMPTOM_0f70f3b506e2,Symptom
COMPOUND_a3040ad64318,SYMPTOM_de00827d7e8e,SYMPTOM_10d012baa5e9,Symptom
COMPOUND_a3040ad64318,SYMPTOM_de00827d7e8e,SYMPTOM_1781e759516c,Symptom
COMPOUND_a3040ad64318,SYMPTOM_9a9214077697,SYMPTOM_01a89e9be65b,Symptom
COMPOUND_a3040ad64318,SYMPTOM_9a9214077697,SYMPTOM_0ebf3cbae989,Symptom
COMPOUND_a3040ad64318,SYMPTOM_9a9214077697,SYMPTOM_0f70f3b506e2,Symptom
COMPOUND_a3040ad64318,SYMPTOM_9a9214077697,SYMPTOM_10d012baa5e9,Symptom
COMPOUND_a3040ad64318,SYMPTOM_9a9214077697,SYMPTOM_1781e759516c,Symptom
COMPOUND_a3040ad64318,SYMPTOM_b4b1fb71c52c,SYMPTOM_01a89e9be65b,Symptom
COMPOUND_a3040ad64318,SYMPTOM_b4b1fb71c52c,SYMPTOM_0ebf3cbae989,Symptom
COMPOUND_a3040ad64318,SYMPTOM_b4b1fb71c52c,SYMPTOM_0f70f3b506e2,Symptom
COMPOUND_a3040ad64318,SYMPTOM_b4b1fb71c52c,SYMPTOM_10d012baa5e9,Symptom
COMPOUND_a3040ad64318,SYMPTOM_b4b1fb71c52c,SYMPTOM_1781e759516c,Symptom
COMPOUND_a3040ad64318,SYMPTOM_99158dd7f146,SYMPTOM_01a89e9be65b,Symptom
COMPOUND_a3040ad64318,SYMPTOM_99158dd7f146,SYMPTOM_0ebf3cbae989,Symptom
COMPOUND_a3040ad64318,SYMPTOM_99158dd7f146,SYMPTOM_0f70f3b506e2,Symptom
COMPOUND_a3040ad64318,SYMPTOM_99158dd7f146,SYMPTOM_10d012baa5e9,Symptom
COMPOUND_a3040ad64318,SYMPTOM_99158dd7f146,SYMPTOM_1781e759516c,Symptom
COMPOUND_a3040ad64318,SYMPTOM_b0a86039f54f,SYMPTOM_01a89e9be65b,Symptom
COMPOUND_a3040ad64318,SYMPTOM_b0a86039f54f,SYMPTOM_0ebf3cbae989,Symptom
COMPOUND_a3040ad64318,SYMPTOM_b0a86039f54f,SYMPTOM_0f70f3b506e2,Symptom
COMPOUND_a3040ad64318,SYMPTOM_b0a86039f54f,SYMPTOM_10d012baa5e9,Symptom
COMPOUND_a3040ad64318,SYMPTOM_b0a86039f54f,SYMPTOM_1781e759516c,Symptom
COMPOUND_a3040ad64318,SYMPTOM_0a61ad588557,SYMPTOM_01a89e9be65b,Symptom
COMPOUND_a3040ad64318,SYMPTOM_0a61ad588557,SYMPTOM_0ebf3cbae989,Symptom
COMPOUND_a3040ad64318,SYMPTOM_0a61ad588557,SYMPTOM_0f70f3b506e2,Symptom
COMPOUND_a3040ad64318,SYMPTOM_0a61ad588557,SYMPTOM_10d012baa5e9,Symptom
COMPOUND_a3040ad64318,SYMPTOM_0a61ad588557,SYMPTOM_1781e759516c,Symptom
COMPOUND_a3040ad64318,SYMPTOM_bc0ee6c26fe4,SYMPTOM_01a89e9be65b,Symptom
COMPOUND_a3040ad64318,SYMPTOM_bc0ee6c26fe4,SYMPTOM_0ebf3cbae989,Symptom
COMPOUND_a3040ad64318,SYMPTOM_bc0ee6c26fe4,SYMPTOM_0f70f3b506e2,Symptom
COMPOUND_a3040ad64318,SYMPTOM_bc0ee6c26fe4,SYMPTOM_10d012baa5e9,Symptom
COMPOUND_a3040ad64318,SYMPTOM_bc0ee6c26fe4,SYMPTOM_1781e759516c,Symptom
COMPOUND_a3040ad64318,SYMPTOM_2e5db521735e,SYMPTOM_01a89e9be65b,Symptom
COMPOUND_a3040ad64318,SYMPTOM_2e5db521735e,SYMPTOM_0ebf3cbae989,Symptom
COMPOUND_a3040ad64318,SYMPTOM_2e5db521735e,SYMPTOM_0f70f3b506e2,Symptom
COMPOUND_a3040ad64318,SYMPTOM_2e5db521735e,SYMPTOM_10d012baa5e9,Symptom
COMPOUND_a3040ad64318,SYMPTOM_2e5db521735e,SYMPTOM_1781e759516c,Symptom
COMPOUND_87ee03e63f60,DISEASE_e7a747ffb620,DISEASE_120d64215d86,Disease
COMPOUND_87ee03e63f60,DISEASE_e7a747ffb620,DISEASE_33f32d4c3a5c,Disease
COMPOUND_87ee03e63f60,DISEASE_e7a747ffb620,DISEASE_57750b73b487,Disease
COMPOUND_87ee03e63f60,DISEASE_e7a747ffb620,DISEASE_66ce053b0c0b,Disease
COMPOUND_87ee03e63f60,DISEASE_e7a747ffb620,DISEASE_800f3dcd7399,Disease
COMPOUND_e75db4b47277,SYMPTOM_154b2e2e5974,SYMPTOM_01a89e9be65b,Symptom
COMPOUND_e75db4b47277,SYMPTOM_154b2e2e5974,SYMPTOM_0ebf3cbae989,Symptom
COMPOUND_e75db4b47277,SYMPTOM_154b2e2e5974,SYMPTOM_0f70f3b506e2,Symptom
COMPOUND_e75db4b47277,SYMPTOM_154b2e2e5974,SYMPTOM_10d012baa5e9,Symptom
COMPOUND_e75db4b47277,SYMPTOM_154b2e2e5974,SYMPTOM_1781e759516c,Symptom
COMPOUND_e75db4b47277,SYMPTOM_bff77d569de2,SYMPTOM_01a89e9be65b,Symptom
COMPOUND_e75db4b47277,SYMPTOM_bff77d569de2,SYMPTOM_0ebf3cbae989,Symptom
COMPOUND_e75db4b47277,SYMPTOM_bff77d569de2,SYMPTOM_0f70f3b506e2,Symptom
COMPOUND_e75db4b47277,SYMPTOM_bff77d569de2,SYMPTOM_10d012baa5e9,Symptom
COMPOUND_e75db4b47277,SYMPTOM_bff77d569de2,SYMPTOM_1781e759516c,Symptom
COMPOUND_e14a6138b047,SYMPTOM_c3332f5bc908,SYMPTOM_01a89e9be65b,Symptom
COMPOUND_e14a6138b047,SYMPTOM_c3332f5bc908,SYMPTOM_0ebf3cbae989,Symptom
